"","Start date","End date","Year","Country name","Location","Latitude","Longitude","Magnitude value","Disaster Type","Disaster subtype","Associated dis.","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster No.","RainFall","Temp"
"353","/09/2001","/09/2001",2001,"India","Saran, Gopalganj, Purba Champaran, Madhubani districts (Bihar province), Uttar Pradesh province",NA,NA,21120,"Flood","Flash flood","--",48,2800000,20000,NA,"2001-0527",84.3139,27.015
"354","7-9-2001","24-9-2001",2001,"India","Saran, Gopalganj districts (Bihar province)",NA,NA,93202.05,"Flood","--","--",146,500,16000,NA,"2001-0794",84.3139,29.0985
"355","21-6-2002","28-8-2002",2002,"India","Barpeta, Bongaigaon, Cachar, Darrang, Dhemaji, Dhuburi, Dibrugarh, Goalpara, Golaghat, Jorhat, Kamrup, Karimganj, Kokrajhar, Lakhimpur, Marigaon, Nagaon, Nalbari, Sibsagar, Sonitpur, Tinsukia districts (Assam province), Araria, Begusarai, Bhagalpur, Darbhanga, Gopalganj, Katihar, Khagaria, Kishanganj, Madhepura, Madhubani, Muzaffarpur, Nalanda, Pashchim Champaran, Patna, Pruba Champaran, Purnia, Saharsa, Samastipur, Saran, Sheikhpura, Sheohar, Sitamarhi, Siwan, Supaul districts (Bihar province), Lahul and Spiti district (Himachal Pradesh province), Balaghat district (Madhya Pradesh province), Tehri Garhwal district (Uttarakhand province), Adilabad, Khammam, Karimnagar districts (Andhra Pradesh province), Jalpaiguri, Kochbihar, Darjiling districts (West Bengal province), Meghalaya, Tripura, Arunachal Pradesh, Gujarat, Kerala, Manipur, Maharashrta provinces",NA,NA,276600,"Flood","Riverine flood","--",549,42000000,30772,NA,"2002-0374",232.01,27.4781
"356","11-8-2002","13-8-2002",2002,"India","Tehri Garhwal district (Uttaranchal province), Bihar, Assam, Manipur provinces",NA,NA,6770,"Flood","Riverine flood","--",33,50,604000,NA,"2002-0490",232.01,26.6861
"357","27-8-2003","20-10-2003",2003,"India","Cuttack, Jagatsinghpur, Kendrapara, Jajpur, Puri, Bolangir, Sonepur, Kalahandi, Rayagada, Gajapati, Baragarh, Koraput, Nayagarh, Ganjam, Angul districts (Orissa province)",NA,NA,117900,"Flood","Riverine flood","--",67,3000000,420000,NA,"2003-0683",91.7346,26.4681
"358","20-6-2004","/08/2004",2004,"India","Darbhanga, Madhubani, Sitamarhi, Banka, Bhagalpur, Muzaffarpur, Sheohar districts (Bihar province), West Tripura, South Tripura districts (Tripura province), Kamrup, Nalbari, Darrang, Sonitpur, Dhemaji, Lakhimpur districts (Assam province), Gujarat, Jammu and Kashmir provinces",NA,NA,42597,"Flood","Riverine flood","--",900,33000000,300000,NA,"2004-0298",237.241,26.5087
"359","1-8-2004","8-9-2004",2004,"India","Uttarakhand, Gujarat, Maharashtra, Punjab, Haryana, Rajasthan provinces",NA,NA,117900,"Flood","Riverine flood","--",210,100000,260000,NA,"2004-0734",237.241,27.1237
"360","28-6-2005","15-7-2005",2005,"India","Surat, Valsad, Navsari, Bharuch, Vadodara, Surendranagar, The Dangs, Ahmedabad, Anand, Kheda, Amreli, Bhavnagar, Junagadh, Rajkot, Narmada, Jamnagar, Gandhinagar, Sabarkantha districts (Gujarat province)",NA,NA,6520,"Flood","Riverine flood","--",239,405000,1400,156000,"2005-0335",240.301,24.6237
"361","26-6-2005","29-6-2005",2005,"India","Sangla, Kalpa, Yangthang, Sumdo, Khab, Karcham, Leo, Akpa, Kharo villages (Kinnaur district, Himachal Pradesh province), Rampur Bushahr village (Shimla district, Himachal Pradesh province), Kullu, Bilaspur, Mandi districts (Himachal Pradesh)",NA,NA,6530,"Flood","Riverine flood","Broken Dam/Burst bank",6,5000,7000000,NA,"2005-0361",127.736,24.6237
"362","24-7-2005","5-8-2005",2005,"India","Gujarat, Madhya Pradesh, Maharashtra, Goa, Orissa, Karnataka, Himachal Pradesh, Jammu and Kashmir provinces",NA,NA,35550,"Flood","Riverine flood","Slide (land, mud, snow, rock)",1200,20000055,1100000,844000,"2005-0409",178.014,29.103
"363","14-9-2005","20-9-2005",2005,"India","Raj Nandgaon, Durg districts (Chhattisgarh province), Baleshwar, Bhadrak, Jajpur districts (Orissa province), Bhandara, Gondiya, Nagpur districts (Maharashtra province), Balaghat, Katni, Jabalpur, Seoni districts (Madhya Pradesh province)",NA,NA,312900,"Flood","Riverine flood","Broken Dam/Burst bank",89,550000,250000,NA,"2005-0541",205.652,27.4064
"364","21-10-2005","24-10-2005",2005,"India","East Midnapore, South 24 Parganas, Barddhaman, Nadia districts (West Bengal province), Baleshwar district (Orissa province)",NA,NA,29110,"Flood","Riverine flood","--",19,2250000,100000,NA,"2005-0599",92.0143,26.3416
"365","28-7-2006","12-9-2006",2006,"India","Andhra Pradesh, Gujarat, Maharashtra, Chhattisgarh, Rajasthan, Madhya Pradesh, Orissa, Karnataka provinces",20.19,73.82,165400,"Flood","Riverine flood","Slide (land, mud, snow, rock)",350,4000065,7000000,407000,"2006-0417",245.909,26.57
"366","22-9-2007","3-10-2007",2007,"India","Baleshwar, Kendrapara, Bhadrak, Jagatsinghpur, Jajpur, Mayurbhanj, Khordha, Cuttack, Puri, Kandhamal districts (Orissa province), Kolkata, South 24 Parganas, East Midnapore, West Midnapore, Hughli districts (West Bengal province)",20.91,86.4,72010,"Flood","Coastal flood","--",80,7200000,250000,NA,"2007-0467",190.599,24.4623
"367","16-7-2007","20-7-2007",2007,"India","Kerala province",10.39,76.31,21120,"Flood","Riverine flood","--",44,35000,528600,NA,"2007-0603",224.546,26.5802
"368","20-3-2008","28-3-2008",2008,"India","Tamil Nadu, Karnataka provinces",10.76,78.72,144300,"Flood","--","--",37,10278,20000,NA,"2008-0130",16.6364,22.5287
"369","11-6-2008","21-7-2008",2008,"India","Lakhimpu, Dhemaji, Sonitpur districts (Assam province), West Bengal, Orissa, Bihar, Gujarat, Goa, Haryana, Kerala, Karnataka, Maharastra, Madhya Pradesh, Punjab, Rajasthan, Uttar Pradesh, Tamil Nadu, Arunachal Pradesh, Uttarakhand, Jharkhand provinces",25.18,91.54,350600,"Flood","Flash flood","Slide (land, mud, snow, rock)",1063,7900000,7000000,NA,"2008-0246",226.076,25.0814
"370","30-8-2008","8-9-2008",2008,"India","Muzaffarpur, Supaul, Patna, Katihar, Nalanda, Araria, Pashchim Champaran, Sheikhpura, Saharsa, Purnia, Saran, Begusarai, Bhagalpur, Madhepura, Vaishali, Khagaria districts (Bihar province), Assam province",22044,94.55,80590,"Flood","Riverine flood","Broken Dam/Burst bank",47,2600000,1567000,NA,"2008-0486",155.516,27.6628
"371","/07/2009","/09/2009",2009,"India","Bihar, Orissa, West Bengal, Assam, Kerala, Gujarat, Karnataka provinces",NA,NA,91960,"Flood","Riverine flood","--",992,1886000,100000,NA,"2009-0409",153.042,26.3416
"372","25-9-2009","12-10-2009",2009,"India","Belgaum, Gulbarga, Bijapur, Raichur, Dharwad, Bagalkot, Bellary, Koppal, Haveri, Bidar, Gadag, Davanegere, Uttar Kannand, Dakshin Kannad districts (Karnataka province), Kurnool, Mahbubnagar, Karimnagar, Anantapur, Krishna, Cuddapah, Guntur, Khammam, Nalgonda districts (Andhra Pradesh province), Maharashtra province",15.71,78.23,309700,"Flood","Riverine flood","--",355,4100000,16000,51000,"2009-0429",58.2477,21.0987
"373","3-11-2009","8-11-2009",2009,"India","Ooty, Coonoor cities (Nilgiris district, Tamil Nadu)",11.47,77.85,35730,"Flood","Riverine flood","Slide (land, mud, snow, rock)",70,8,160000,NA,"2009-0483",56.7554,27.074
"374","5-7-2010","15-7-2010",2010,"India","Ambala, Kurukshetra districts (Haryana province), Punjab, Kerala provinces",30.18,74.77,147437,"Flood","Riverine flood","--",53,400000,420000,NA,"2010-0276",248.332,22.5287
"375","18-9-2010","30-9-2010",2010,"India","Almora, Naini Tal districts (Uttarakhand province), Bihar, Uttar Pradesh provinces",26.73,82.84,38537,"Flood","Riverine flood","Slide (land, mud, snow, rock)",200,3267183,420000,NA,"2010-0492",211.738,26.6121
"376","15-11-2010","7-12-2010",2010,"India","Chennai, Cuddalore, Nagapattinam, Pudukottai, Ramanthapuram, Thanjavur, Thiruvallur, Villupuram, Thoothukudi, Tirunelveli Kattabo districts (Tamil Nadu province)",9.88,78.47,57474,"Flood","Riverine flood","--",203,18500,250000,NA,"2010-0629",58.06,24.6237
