sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster name","Disaster No."
25/01/2009,25/01/2009,China,CHN,"Chabucha'er Xibo Zizhixian, Zhaosu areas (Ili Kazakh district, Xinjiang Uygur Zizhiqu province)",43.3,80.9,5,Richter,Earthquake,"Ground movement",--,--,0,4549,3100,0,,2009-0059
09/07/2009,09/07/2009,China,CHN,"Guantun village (Yao'an Xian area, Chuxiong Yi district, Yunnan Sheng province), Dali Bai district (Yunnan Sheng province)",25.632,101.09,5.7,Richter,Earthquake,"Ground movement",--,--,1,65336,315000,0,,2009-0249
30/01/2010,30/01/2010,China,CHN,"Moxizhen village (Suining district, Sichuan Sheng province)",30.268,105.668,5.1,Richter,Earthquake,"Ground movement",--,--,1,10515,4400,0,,2010-0064
25/02/2010,25/02/2010,China,CHN,"Kunming district (Yunnan Sheng province)",25.523,101.903,5.2,Richter,Earthquake,"Ground movement",--,--,0,50011,0,0,,2010-0087
14/04/2010,14/04/2010,China,CHN,"Yushu Xian area (Name Unknown district, Qinghai Sheng province)",33.165,96.548,6.9,Richter,Earthquake,"Ground movement",--,--,2968,112000,500000,0,,2010-0169
17/01/2010,17/01/2010,China,CHN,"Guizhou Sheng province",25.558,105.804,4.4,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,8,9,0,0,,2010-0667
29/08/2010,29/08/2010,China,CHN,"Ningnan area (Liangshan Yi district, Sichuan Sheng province), Qiaojia area (Zhaotong district, Yunnan Sheng province)",27.197,103.005,4.9,Richter,Earthquake,"Ground movement",--,--,0,5014,0,0,,2010-0673
01/02/2011,01/02/2011,China,CHN,"Pingyuanzhen village (Yingjiang area, Dehong Dai and Jingpo district, Yunnan Sheng province)",24.693,97.943,6.5,Richter,Earthquake,"Ground movement",--,--,0,64501,0,0,,2011-0030
10/03/2011,10/03/2011,China,CHN,"Pingyuanzhen village (Yingjiang area, Dehong Dai and Jingpo district, Yunnan Sheng province)",24.719,97.969,5.5,Richter,Earthquake,"Ground movement",--,--,25,5440,290000,0,,2011-0079
24/03/2011,24/03/2011,China,CHN,"Yunnan Sheng province",20.687,99.822,6.9,Richter,Earthquake,"Ground movement",--,--,0,9508,0,0,,2011-0090
18/09/2011,18/09/2011,China,CHN,"Shigatse, Shannan districts (Xizang Zizhiqu province)",27.73,88.155,6.9,Richter,Earthquake,"Ground movement",--,--,7,5136,0,0,,2011-0351
08/06/2011,08/06/2011,China,CHN,"Dabancheng area (Urumqi district, Xinjiang Uygur Zizhiqu province))",43.015,88.247,5.3,Richter,Earthquake,"Ground movement","Slide (land, mud, snow, rock)",--,0,258,0,0,,2011-0387
01/11/2011,01/11/2011,China,CHN,"Yining, Gongliu areas (Ili Kazakh district, Xinjiang Uygur Zizhiqu province)",,,,Richter,Earthquake,"Ground movement",--,--,0,143000,56400,0,,2011-0411
11/08/2011,11/08/2011,China,CHN,"Jiashi Xian, Kashi Shi areas (Kashgar district, Xinjiang Uygur Zizhiqu province)",39.955,77.028,5.6,Richter,Earthquake,"Ground movement",--,--,0,1616,0,0,,2011-0601
24/06/2012,24/06/2012,China,CHN,"Ninglang Yi Zizhixian area (Liangshan Yi district, Sichuan Sheng province),
Yanyuan Xian area (Lijiang district, Yunnan Sheng province)",27.776,100.78,5.5,Richter,Earthquake,"Ground movement",--,--,4,34234,300000,0,,2012-0190
29/06/2012,29/06/2012,China,CHN,"Xinjiang Uygur Zizhiqu province",43.433,84.7,6.3,Richter,Earthquake,"Ground movement",--,--,0,155052,68000,0,,2012-0338
07/09/2012,07/09/2012,China,CHN,"Yiliang area (Zhaotong district, Yunnan Sheng province), Weining area (Bijie district, Guizhou Sheng province)",27.541,103.97,5.7,Richter,Earthquake,"Ground movement",--,--,81,744821,1000000,45000,,2012-0350
20/07/2012,20/07/2012,China,CHN,"Yangzhou district (Jiangsu Sheng province)",32.974,119.6,4.9,Richter,Earthquake,"Ground movement",--,--,1,2610,0,0,,2012-0397
07/12/2012,07/12/2012,China,CHN,"Xinjiang Uygur Zizhiqu province",,,5.3,Richter,Earthquake,"Ground movement",--,--,0,5500,96000,0,,2012-0536
