nameEN	nameAR	altName	lat	lon	population	place	id
Kebkabiya	كبكابية	Kebkebiya,كبكابية (Kebkabiya)	24.0902512	13.650321	NA	town	node/1911154943
Abu Hamad	أبو حمد		33.3248471	19.5378928	NA	city	node/1950229972
Karima	كريمة		31.847617	18.545128	NA	town	node/1956274629
Wawa	واوا		30.3304959	20.4847488	NA	village	node/1958037325
Abri	عبري		30.3406751	20.7930384	4e4	city	node/1958038093
Kerma	كرمة		30.4091017	19.593098	NA	city	node/1958047978
Kabodu	كبدي		30.3844337	19.7282684	NA	village	node/1958080920
Abu Fatma	ابو فاطمة	اشكان,أشكان	30.4046384	19.6877621	NA	village	node/1958085269
Elkumor	NA		33.3956827	14.2816875	NA	village	node/1968423445
Umm Badr	أم بادر		27.938155	14.23656	NA	town	node/1971661697
Ailliet	اللعيت جارالنبى		27.0482686	11.9596801	NA	town	node/1977579557
Umm Kadadah	أم كدادة		26.6892786	13.6002208	NA	town	node/1977584722
Ed Dueim	الدويم		32.30946	13.997187	NA	city	node/1977780575
Omdurman	أم درمان	Omdurmán,Omdourman,Омдурман	32.4777311	15.6445536	2395159	city	node/1980789690
Sigili	NA		25.6343676	13.3773495	NA	village	node/2004479946
Al-Murada	الموردة		32.4880867	15.6291316	NA	suburb	node/2030895241
Al-Omda	NA		32.4869682	15.6597847	NA	suburb	node/2030895248
Arda South	NA	NA	32.4711936	15.6383043	NA	suburb	node/2030895249
Beit al-Mal	NA	NA	32.4982781	15.6497815	NA	suburb	node/2030895251
Wad al-Bana	NA	NA	32.4979225	15.654531	NA	suburb	node/2030895252
Omdurman Industrial Area	NA	NA	32.4674363	15.6645371	NA	suburb	node/2030895253
Kasakana	NA		30.4172218	19.9456759	NA	village	node/2045158918
NA	توندي		30.5738615	20.2935364	NA	village	node/2045158940
Unknown	NA		30.5723321	20.2561875	NA	village	node/2045158966
Unknown	NA		30.5379815	20.3226235	NA	village	node/2045159085
Unknown	NA		30.5195112	20.3420619	NA	village	node/2045159094
Unknown	NA		30.3503878	20.4106642	NA	village	node/2045159096
Hafir	الحفير		30.3641262	19.5935138	NA	village	node/2045245603
Koya	NA		30.3872513	20.340739	NA	village	node/2045308555
Tumbus	تمبس	Toumbous	30.3966945	19.7105982	NA	village	node/2045308599
Kagbar	كجبار		30.5310713	19.9451844	NA	village	node/2046694684
Defoi	دفوي		30.4552003	19.9468334	NA	village	node/2046719657
Gorgod	قرقود		30.5482636	20.1590864	NA	village	node/2046794370
Hamid	حميد		30.2981027	20.6459944	NA	village	node/2046794371
Koka	كوكا		30.5754594	20.0379169	NA	village	node/2046794552
Sese	سيسة		30.548278	20.1234552	NA	village	node/2046794594
