name	normalname	country	latitude	longitude	population
San Luis	San Luis	AR	-33.29501	-66.33563	183982
San Justo	San Justo	AR	-30.78913	-60.59189	21809
San Juan	San Juan	AR	-31.5375	-68.53639	447048
San José de Jáchal	San José de Jáchal	AR	-30.24057	-68.74693	21018
San Francisco	San Francisco	US	37.77493	-122.41942	805235
San Fernando del Valle de Catamarca	San Fernando del Valle de Catamarca	AR	-28.46957	-65.78524	188812
San Antonio Oeste	San Antonio Oeste	AR	-40.73193	-64.94769	16966
Salta	Salta	AR	-24.7859	-65.41166	512686
Rufino	Rufino	AR	-34.26827	-62.71262	18361
Rosario	Rosario	AR	-32.94682	-60.63932	1173533
Río Tercero	Río Tercero	AR	-32.17301	-64.11405	53389
Río Gallegos	Río Gallegos	AR	-51.62261	-69.21813	85700
Río Cuarto	Río Cuarto	AR	-33.13067	-64.34992	153757
Río Ceballos	Río Ceballos	AR	-31.16486	-64.32241	16632
Rawson	Rawson	AR	-43.30016	-65.10228	26335
Rafaela	Rafaela	AR	-31.25033	-61.4867	88713
Quitilipi	Quitilipi	AR	-26.86913	-60.21683	32083
Punta Alta	Punta Alta	AR	-38.87588	-62.07359	57209
Puerto Madryn	Puerto Madryn	AR	-42.7692	-65.03851	64555
Presidencia Roque Sáenz Peña	Presidencia Roque Sáenz Peña	AR	-26.78522	-60.43876	81879
Pocito	Pocito	AR	-31.68333	-68.58333	40969
Plottier	Plottier	AR	-38.96667	-68.23333	25186
Pergamino	Pergamino	AR	-33.88995	-60.57357	87652
Pérez	Pérez	AR	-32.99835	-60.76791	24436
Paraná	Paraná	AR	-31.73197	-60.5238	262295
Palpalá	Palpalá	AR	-24.25647	-65.21163	48199
Olavarría	Olavarría	AR	-36.89272	-60.32254	86320
Nueve de Julio	Nueve de Julio	AR	-35.44437	-60.88313	34718
Neuquén	Neuquén	AR	-38.95161	-68.0591	242092
Morteros	Morteros	AR	-30.71164	-61.99862	15129
Monteros	Monteros	AR	-27.16741	-65.49832	23771
Mendoza	Mendoza	AR	-32.89084	-68.82717	876884
Marcos Juárez	Marcos Juárez	AR	-32.6978	-62.10672	24226
Machagai	Machagai	AR	-26.92614	-60.04955	28070
Lincoln	Lincoln	US	40.8	-96.66696	258379
Libertador General San Martín	Libertador General San Martín	AR	-23.80644	-64.78757	49267
Las Breñas	Las Breñas	AR	-27.08966	-61.08161	26955
La Rioja	La Rioja	AR	-29.41105	-66.85067	162620
La Falda	La Falda	AR	-31.08841	-64.48987	15112
Laboulaye	Laboulaye	AR	-34.12662	-63.39119	19908
Junín	Junín	AR	-34.58382	-60.94332	85007
Joaquín V. González	Joaquín V. González	AR	-25.08333	-64.18333	19185
Jesús María	Jesús María	MX	21.96111	-102.34333	43012
Granadero Baigorria	Granadero Baigorria	AR	-32.85683	-60.71754	32427
Gobernador Gálvez	Gobernador Gálvez	AR	-33.03016	-60.64045	74650
General Roca	General Roca	AR	-39.03333	-67.58333	73212
General Pinedo	General Pinedo	AR	-27.31667	-61.28333	15741
General Pico	General Pico	AR	-35.65662	-63.75682	57029
General Enrique Mosconi	General Enrique Mosconi	AR	-22.59588	-63.81255	19811
Gálvez	Gálvez	AR	-32.02927	-61.22103	18374
Firmat	Firmat	AR	-33.45937	-61.4832	18294
Famaillá	Famaillá	AR	-27.05413	-65.40329	30951
Esquel	Esquel	AR	-42.91147	-71.31947	28486
